staff,vendor,department,record_type
Nurse Williams,MedTech Solutions,Radiology,patient chart
Dr. Foster,CloudHealth Inc,Emergency,lab results
Admin Lopez,SecureShred LLC,Cardiology,billing record
Nurse Patel,DataVault Systems,Neurology,intake form
Dr. Kim,PharmaCorp,Orthopedics,prescription log
Tech Davis,MedDevice Co,Pulmonology,imaging report
Dr. Singh,LabConnect,Oncology,pathology report
Nurse Chen,BioWaste Mgmt,Gastroenterology,procedure notes
Admin Torres,IT Health Systems,Endocrinology,access log
Dr. Hernandez,ComplianceFirst,Dermatology,referral form
